column,feature_type,baseline_mean,current_mean,mean_change_pct,baseline_std,current_std,std_change_pct,baseline_missing_rate,current_missing_rate,missing_rate_change,drift_detected,baseline_top_category,current_top_category,baseline_top_share,current_top_share,top_share_change,baseline_unique_count,current_unique_count
claim_amount,numeric,586468.6460719042,443636.36363636365,-0.24354632322156328,376106.2977325187,443954.33835638384,0.18039591741193783,0.0,0.0,0.0,False,,,,,,,
reserve_amount,numeric,628278.8571904128,578909.0909090909,-0.0785793851190497,414100.0890652578,460579.08214452263,0.11224096373459176,0.0,0.0,0.0,False,,,,,,,
prior_claim_count,numeric,2.6085219707057257,1.9090909090909092,-0.26813309202283164,1.7231387869766355,1.6403990645294488,-0.04801686496324485,0.0,0.0,0.0,True,,,,,,,
retention,numeric,458721.70439414115,254545.45454545456,-0.4450982979284866,344422.94316962175,145695.82261435202,-0.5769857220498822,0.0,0.0,0.0,True,,,,,,,
treaty_limit,numeric,4615179.760319574,2272727.272727273,-0.5075539002255678,3331523.5655242093,1489356.1757289015,-0.5529504305053433,0.0,0.0,0.0,True,,,,,,,
calculated_ceded_loss,numeric,269984.36988015973,193181.81818181818,-0.28447036297854045,327198.1363256204,289631.4272249537,-0.11481333458232514,0.0,0.0,0.0,True,,,,,,,
reinsurance_recovery_ratio,numeric,0.3461129873456014,0.25716363636363637,-0.25699512654561896,0.347601932998554,0.29157868328369707,-0.16117070820515259,0.0,0.0,0.0,True,,,,,,,
loss_year,numeric,2025.3422103861517,2025.0,-0.00016896422954935887,0.47476581000038043,0.0,-1.0,0.0,0.0,0.0,True,,,,,,,
loss_month,numeric,6.463382157123835,4.636363636363637,-0.28267221036071466,3.456152583306261,1.5666989036012804,-0.5466927845811344,0.0,0.0,0.0,True,,,,,,,
loss_quarter,numeric,2.4833555259653797,2.090909090909091,-0.15803070923714366,1.1204415463405888,0.30151134457776363,-0.7308995319189002,0.0,0.0,0.0,True,,,,,,,
line_of_business,categorical,,,,,,,,,,True,Marine & Energy,Commercial Property,0.13715046604527298,0.36363636363636365,0.22648589759109067,8.0,6.0
loss_type,categorical,,,,,,,,,,True,Hull Damage,Hail,0.05725699067909454,0.18181818181818182,0.12456119113908729,27.0,8.0
state,categorical,,,,,,,,,,True,FL,TX,0.13448735019973368,0.2727272727272727,0.13823992252753903,8.0,6.0
treaty_type,categorical,,,,,,,,,,True,Catastrophe XOL,None,0.2956058588548602,0.2727272727272727,-0.022878586127587475,4.0,4.0
